Variables,Descripción,Modelo en el Pasado,Modelo Comportamiento,Modelo Nuevos Clientes
ratio_VAR1_sum_VAR9_trx,Ratio entre VAR1_sum y VAR9_trx en el último mes,✓, ,✓
mean_VAR5_sum_18M,Media de VAR5_sum en los últimos 18 meses,✓,✓,✓
max_VAR16_sum_2M,Maximo valor de VAR16_sum en los últimos 2 meses,✓, ,✓
mean_VAR4_trx_34M,Media de VAR4_trx en los últimos 34 meses,✓, ,✓
ratio_VAR1_sum_VAR8_sum,Ratio entre VAR1_sum y VAR8_sum en el último mes,✓, ,✓
ratio_VAR1_sum_VAR14_sum,Ratio entre VAR1_sum y VAR14_sum en el último mes,✓, ,✓
min_VAR23_sum_2M,Minimo valor de VAR23_sum en los últimos 2 meses,✓, ,✓
max_VAR24_sum_12M,Maximo valor de VAR24_sum en los últimos 12 meses,✓,✓,✓
ratio_VAR1_sum_VAR25_sum,Ratio entre VAR1_sum y VAR25_sum en el último mes,✓, ,✓
min_VAR5_prom_34M,Minimo valor de VAR5_prom en los últimos 34 meses,✓, ,✓
ratio_VAR3_sum_VAR28_trx,Ratio entre VAR3_sum y VAR28_trx en el último mes,✓, ,✓
min_VAR5_sum_18M,Minimo valor de VAR5_sum en los últimos 18 meses,✓,✓,✓
mean_VAR25_sum_9M,Media de VAR25_sum en los últimos 9 meses,✓,✓,✓
max_VAR17_sum_18M,Maximo valor de VAR17_sum en los últimos 18 meses,✓, ,✓
ratio_VAR23_trx_VAR4_trx,Ratio entre VAR23_trx y VAR4_trx en el último mes,✓, ,✓
max_VAR23_sum_9M,Maximo valor de VAR23_sum en los últimos 9 meses,✓,✓,✓
mean_VAR4_sum_34M,Media de VAR4_sum en los últimos 34 meses,✓,✓,✓
ratio_VAR4_sum_VAR10_sum,Ratio entre VAR4_sum y VAR10_sum en el último mes,✓, ,✓
ratio_VAR5_trx_VAR1_trx,Ratio entre VAR5_trx y VAR1_trx en el último mes,✓, ,✓
ratio_VAR3_sum_VAR22_sum,Ratio entre VAR3_sum y VAR22_sum en el último mes,✓, ,✓
mean_VAR25_sum_6M,Media de VAR25_sum en los últimos 6 meses,✓,✓,✓
ratio_VAR5_sum_VAR24_trx,Ratio entre VAR5_sum y VAR24_trx en el último mes,✓, ,✓
max_VAR25_trx_12M,Maximo valor de VAR25_trx en los últimos 12 meses,✓, ,✓
mean_VAR7_sum_12M,Media de VAR7_sum en los últimos 12 meses,✓, ,✓
min_VAR1_prom_34M,Minimo valor de VAR1_prom en los últimos 34 meses,✓, ,✓
min_VAR4_prom_34M,Minimo valor de VAR4_prom en los últimos 34 meses,✓, ,✓
mean_VAR25_trx_3M,Media de VAR25_trx en los últimos 3 meses,✓, ,✓
ratio_VAR25_prom_VAR23_prom,Ratio entre VAR25_prom y VAR23_prom en el último mes,✓, ,✓
tipo_ban_tipo_seg_tipo_com_tipo_cli,"Combinacion de Variable categóricas: tipo_ban, tipo_com, tipo_cli, tipo_seg",✓, ,✓
tipo_ban_categoria,"Combinacion de Variable categóricas: tipo_ban, categoria",✓, ,✓
ratio_VAR1_sum_VAR15_sum,Ratio entre VAR1_sum y VAR15_sum en el último mes,✓, ,✓
ratio_VAR25_sum_prom,Ratio entre VAR25_sum y prom en el último mes,✓,✓,✓
max_VAR17_sum_34M,Maximo valor de VAR17_sum en los últimos 34 meses,✓, ,✓
std_VAR23_trx_34M,Desviacion Estandar de VAR23_trx en los últimos 34 meses,✓, ,✓
std_VAR24_trx_34M,Desviacion Estandar de VAR24_trx en los últimos 34 meses,✓, ,✓
max_VAR1_sum_18M,Maximo valor de VAR1_sum en los últimos 18 meses,✓,✓,✓
mean_VAR23_prom_12M,Media de VAR23_prom en los últimos 12 meses,✓, ,✓
max_VAR23_sum_6M,Maximo valor de VAR23_sum en los últimos 6 meses,✓,✓,✓
max_VAR2_prom_34M,Maximo valor de VAR2_prom en los últimos 34 meses,✓, ,✓
std_VAR5_trx_34M,Desviacion Estandar de VAR5_trx en los últimos 34 meses,✓, ,✓
mean_VAR25_sum_12M,Media de VAR25_sum en los últimos 12 meses,✓,✓,✓
ratio_VAR24_sum_VAR2_sum,Ratio entre VAR24_sum y VAR2_sum en el último mes,✓, ,✓
max_VAR29_ratio_34M,Maximo valor de VAR29_ratio en los últimos 34 meses,✓, ,✓
ratio_VAR1_sum_VAR23_trx,Ratio entre VAR1_sum y VAR23_trx en el último mes,✓, ,✓
ratio_VAR11_sum_VAR17_sum,Ratio entre VAR11_sum y VAR17_sum en el último mes,✓, ,✓
std_VAR1_sum_18M,Desviacion Estandar de VAR1_sum en los últimos 18 meses,✓, ,✓
mean_VAR25_prom_6M,Media de VAR25_prom en los últimos 6 meses,✓, ,✓
VAR1_sum,Variable VAR1_sum,✓,✓,✓
mean_VAR30_sum_12M,Media de VAR30_sum en los últimos 12 meses,✓, ,✓
ratio_VAR2_sum_VAR4_trx,Ratio entre VAR2_sum y VAR4_trx en el último mes,✓, ,✓
min_VAR1_sum_12M,Minimo valor de VAR1_sum en los últimos 12 meses,✓,✓,✓
min_VAR25_trx_18M,Minimo valor de VAR25_trx en los últimos 18 meses,✓, ,✓
ratio_VAR11_sum_VAR12_sum,Ratio entre VAR11_sum y VAR12_sum en el último mes,✓, ,✓
max_VAR4_sum_34M,Maximo valor de VAR4_sum en los últimos 34 meses,✓,✓,✓
ratio_VAR1_sum_VAR2_trx,Ratio entre VAR1_sum y VAR2_trx en el último mes,✓, ,✓
mes,Mes de Observación,✓, , 
max_VAR29_ratio_18M,Maximo valor de VAR29_ratio en los últimos 18 meses,✓, ,✓
ratio_VAR3_sum_VAR10_sum,Ratio entre VAR3_sum y VAR10_sum en el último mes,✓, ,✓
std_VAR23_sum_18M,Desviacion Estandar de VAR23_sum en los últimos 18 meses,✓, ,✓
mean_VAR1_trx_34M,Media de VAR1_trx en los últimos 34 meses,✓, ,✓
max_VAR4_trx_34M,Maximo valor de VAR4_trx en los últimos 34 meses,✓, ,✓
min_VAR23_sum_34M,Minimo valor de VAR23_sum en los últimos 34 meses,✓,✓,✓
ratio_VAR25_trx_VAR24_trx,Ratio entre VAR25_trx y VAR24_trx en el último mes,✓, ,✓
mean_VAR4_sum_3M,Media de VAR4_sum en los últimos 3 meses,✓,✓,✓
ratio_VAR16_sum_VAR8_trx,Ratio entre VAR16_sum y VAR8_trx en el último mes,✓, ,✓
std_VAR12_sum_2M,Desviacion Estandar de VAR12_sum en los últimos 2 meses,✓, ,✓
min_VAR23_prom_2M,Minimo valor de VAR23_prom en los últimos 2 meses,✓, ,✓
max_VAR5_prom_18M,Maximo valor de VAR5_prom en los últimos 18 meses,✓, ,✓
ratio_VAR24_sum_VAR28_trx,Ratio entre VAR24_sum y VAR28_trx en el último mes,✓, ,✓
max_VAR25_trx_2M,Maximo valor de VAR25_trx en los últimos 2 meses,✓, ,✓
ratio_VAR24_sum_VAR25_trx,Ratio entre VAR24_sum y VAR25_trx en el último mes,✓, ,✓
std_VAR11_sum_3M,Desviacion Estandar de VAR11_sum en los últimos 3 meses,✓, ,✓
ratio_VAR2_sum_VAR24_trx,Ratio entre VAR2_sum y VAR24_trx en el último mes,✓, ,✓
ratio_VAR23_sum_VAR22_sum,Ratio entre VAR23_sum y VAR22_sum en el último mes,✓, ,✓
max_VAR25_trx_3M,Maximo valor de VAR25_trx en los últimos 3 meses,✓, ,✓
max_VAR30_sum_12M,Maximo valor de VAR30_sum en los últimos 12 meses,✓, ,✓
ratio_VAR23_sum_VAR9_trx,Ratio entre VAR23_sum y VAR9_trx en el último mes,✓, ,✓
min_VAR5_trx_34M,Minimo valor de VAR5_trx en los últimos 34 meses,✓, ,✓
max_VAR23_sum_3M,Maximo valor de VAR23_sum en los últimos 3 meses,✓,✓,✓
ratio_VAR1_sum_VAR10_sum,Ratio entre VAR1_sum y VAR10_sum en el último mes,✓, ,✓
mean_VAR3_trx_18M,Media de VAR3_trx en los últimos 18 meses,✓, ,✓
min_VAR5_trx_18M,Minimo valor de VAR5_trx en los últimos 18 meses,✓, ,✓
max_VAR4_sum_6M,Maximo valor de VAR4_sum en los últimos 6 meses,✓,✓,✓
mean_VAR5_trx_18M,Media de VAR5_trx en los últimos 18 meses,✓, ,✓
ratio_VAR2_trx_VAR1_trx,Ratio entre VAR2_trx y VAR1_trx en el último mes,✓, ,✓
max_VAR3_sum_12M,Maximo valor de VAR3_sum en los últimos 12 meses,✓,✓,✓
mean_VAR12_sum_34M,Media de VAR12_sum en los últimos 34 meses,✓,✓,✓
min_VAR4_sum_9M,Minimo valor de VAR4_sum en los últimos 9 meses,✓,✓,✓
ratio_VAR2_sum_VAR23_sum,Ratio entre VAR2_sum y VAR23_sum en el último mes,✓, ,✓
tipo_seg_tipo_cli,"Combinacion de Variable categóricas: tipo_cli, tipo_seg",✓, ,✓
mean_VAR28_trx_34M,Media de VAR28_trx en los últimos 34 meses,✓, ,✓
ratio_VAR25_sum_VAR23_trx,Ratio entre VAR25_sum y VAR23_trx en el último mes,✓, ,✓
ratio_VAR25_trx_VAR1_trx,Ratio entre VAR25_trx y VAR1_trx en el último mes,✓, ,✓
max_VAR1_trx_18M,Maximo valor de VAR1_trx en los últimos 18 meses,✓, ,✓
categoria_tipo_com,"Combinacion de Variable categóricas: categoria, tipo_com",✓, ,✓
ratio_VAR1_trx_VAR5_trx,Ratio entre VAR1_trx y VAR5_trx en el último mes,✓, ,✓
ratio_VAR24_sum_VAR17_sum,Ratio entre VAR24_sum y VAR17_sum en el último mes,✓, ,✓
max_VAR23_prom_34M,Maximo valor de VAR23_prom en los últimos 34 meses,✓, ,✓
min_VAR23_prom_3M,Minimo valor de VAR23_prom en los últimos 3 meses,✓, ,✓
max_VAR1_trx_34M,Maximo valor de VAR1_trx en los últimos 34 meses,✓, ,✓
min_VAR3_prom_3M,Minimo valor de VAR3_prom en los últimos 3 meses,✓, ,✓
ratio_VAR5_sum_VAR25_trx,Ratio entre VAR5_sum y VAR25_trx en el último mes,✓, ,✓
ratio_VAR4_sum_VAR11_sum,Ratio entre VAR4_sum y VAR11_sum en el último mes,✓, ,✓
mean_VAR25_prom_34M,Media de VAR25_prom en los últimos 34 meses,✓, ,✓
ratio_VAR23_sum_VAR14_sum,Ratio entre VAR23_sum y VAR14_sum en el último mes,✓, ,✓
ratio_VAR4_sum_VAR26_trx,Ratio entre VAR4_sum y VAR26_trx en el último mes,✓, ,✓
max_VAR23_sum_34M,Maximo valor de VAR23_sum en los últimos 34 meses,✓,✓,✓
mean_VAR3_sum_18M,Media de VAR3_sum en los últimos 18 meses,✓,✓,✓
ratio_VAR1_sum_VAR9_sum,Ratio entre VAR1_sum y VAR9_sum en el último mes,✓, ,✓
ratio_VAR5_trx_VAR25_trx,Ratio entre VAR5_trx y VAR25_trx en el último mes,✓, ,✓
min_VAR11_sum_34M,Minimo valor de VAR11_sum en los últimos 34 meses,✓, ,✓
std_VAR7_prom_34M,Desviacion Estandar de VAR7_prom en los últimos 34 meses,✓, ,✓
ratio_VAR1_trx_VAR2_trx,Ratio entre VAR1_trx y VAR2_trx en el último mes,✓, ,✓
ratio_VAR16_sum_VAR28_trx,Ratio entre VAR16_sum y VAR28_trx en el último mes,✓, ,✓
max_VAR4_prom_34M,Maximo valor de VAR4_prom en los últimos 34 meses,✓, ,✓
ratio_VAR2_sum_VAR27_trx,Ratio entre VAR2_sum y VAR27_trx en el último mes,✓, ,✓
ratio_VAR24_sum_VAR2_trx,Ratio entre VAR24_sum y VAR2_trx en el último mes,✓, ,✓
std_VAR24_prom_34M,Desviacion Estandar de VAR24_prom en los últimos 34 meses,✓, ,✓
mean_VAR3_sum_9M,Media de VAR3_sum en los últimos 9 meses,✓,✓,✓
max_VAR29_prom_34M,Maximo valor de VAR29_prom en los últimos 34 meses,✓, ,✓
ratio_VAR5_sum_VAR22_sum,Ratio entre VAR5_sum y VAR22_sum en el último mes,✓, ,✓
ratio_VAR4_sum_VAR14_sum,Ratio entre VAR4_sum y VAR14_sum en el último mes,✓, ,✓
mean_VAR3_sum_3M,Media de VAR3_sum en los últimos 3 meses,✓,✓,✓
max_VAR4_sum_3M,Maximo valor de VAR4_sum en los últimos 3 meses,✓,✓,✓
std_VAR5_sum_34M,Desviacion Estandar de VAR5_sum en los últimos 34 meses,✓, ,✓
ratio_VAR25_prom_VAR5_prom,Ratio entre VAR25_prom y VAR5_prom en el último mes,✓, ,✓
ratio_VAR4_sum_VAR24_trx,Ratio entre VAR4_sum y VAR24_trx en el último mes,✓, ,✓
min_VAR25_prom_3M,Minimo valor de VAR25_prom en los últimos 3 meses,✓, ,✓
ratio_VAR4_sum_VAR8_trx,Ratio entre VAR4_sum y VAR8_trx en el último mes,✓, ,✓
max_VAR4_sum_9M,Maximo valor de VAR4_sum en los últimos 9 meses,✓,✓,✓
min_VAR25_prom_12M,Minimo valor de VAR25_prom en los últimos 12 meses,✓, ,✓
min_VAR1_sum_2M,Minimo valor de VAR1_sum en los últimos 2 meses,✓, ,✓
tipo_ban_tipo_com_tipo_cli,"Combinacion de Variable categóricas: tipo_ban, tipo_com, tipo_cli",✓, ,✓
max_VAR24_prom_34M,Maximo valor de VAR24_prom en los últimos 34 meses,✓, ,✓
ratio_VAR4_sum_VAR12_sum,Ratio entre VAR4_sum y VAR12_sum en el último mes,✓, ,✓
min_VAR4_sum_12M,Minimo valor de VAR4_sum en los últimos 12 meses,✓,✓,✓
max_VAR29_prom_18M,Maximo valor de VAR29_prom en los últimos 18 meses,✓, ,✓
max_VAR5_sum_18M,Maximo valor de VAR5_sum en los últimos 18 meses,✓,✓,✓
mean_VAR23_sum_34M,Media de VAR23_sum en los últimos 34 meses,✓,✓,✓
ratio_VAR25_sum_VAR5_sum,Ratio entre VAR25_sum y VAR5_sum en el último mes,✓, ,✓
min_VAR4_sum_3M,Minimo valor de VAR4_sum en los últimos 3 meses,✓,✓,✓
mean_VAR4_sum_2M,Media de VAR4_sum en los últimos 2 meses,✓, ,✓
mean_VAR25_trx_2M,Media de VAR25_trx en los últimos 2 meses,✓, ,✓
max_VAR16_sum_3M,Maximo valor de VAR16_sum en los últimos 3 meses,✓,✓,✓
std_VAR1_sum_34M,Desviacion Estandar de VAR1_sum en los últimos 34 meses,✓, ,✓
mean_VAR29_ratio_34M,Media de VAR29_ratio en los últimos 34 meses,✓, ,✓
tipo_ban_tipo_cat_tipo_cli,"Combinacion de Variable categóricas: tipo_ban, tipo_cat, tipo_cli, tipo_cat",✓, ,✓
ratio_VAR5_sum_VAR8_trx,Ratio entre VAR5_sum y VAR8_trx en el último mes,✓, ,✓
std_VAR25_trx_34M,Desviacion Estandar de VAR25_trx en los últimos 34 meses,✓, ,✓
mean_VAR4_trx_18M,Media de VAR4_trx en los últimos 18 meses,✓, ,✓
std_VAR16_sum_2M,Desviacion Estandar de VAR16_sum en los últimos 2 meses,✓, ,✓
min_VAR5_prom_18M,Minimo valor de VAR5_prom en los últimos 18 meses,✓, ,✓
std_VAR29_ratio_12M,Desviacion Estandar de VAR29_ratio en los últimos 12 meses,✓, ,✓
max_VAR5_sum_2M,Maximo valor de VAR5_sum en los últimos 2 meses,✓, ,✓
ratio_VAR25_sum_VAR5_trx,Ratio entre VAR25_sum y VAR5_trx en el último mes,✓, ,✓
mean_VAR23_prom_18M,Media de VAR23_prom en los últimos 18 meses,✓, ,✓
ratio_VAR2_sum_VAR1_sum,Ratio entre VAR2_sum y VAR1_sum en el último mes,✓, ,✓
max_VAR4_sum_18M,Maximo valor de VAR4_sum en los últimos 18 meses,✓,✓,✓
ratio_VAR5_trx_VAR24_trx,Ratio entre VAR5_trx y VAR24_trx en el último mes,✓, ,✓
ratio_VAR25_sum_VAR11_sum,Ratio entre VAR25_sum y VAR11_sum en el último mes,✓, ,✓
max_VAR4_trx_18M,Maximo valor de VAR4_trx en los últimos 18 meses,✓, ,✓
mean_VAR23_prom_34M,Media de VAR23_prom en los últimos 34 meses,✓, ,✓
mean_VAR5_sum_3M,Media de VAR5_sum en los últimos 3 meses,✓,✓,✓
ratio_VAR3_sum_VAR26_trx,Ratio entre VAR3_sum y VAR26_trx en el último mes,✓, ,✓
max_VAR1_prom_18M,Maximo valor de VAR1_prom en los últimos 18 meses,✓, ,✓
mean_VAR23_prom_6M,Media de VAR23_prom en los últimos 6 meses,✓, ,✓
min_VAR11_sum_18M,Minimo valor de VAR11_sum en los últimos 18 meses,✓, ,✓
max_VAR16_sum_34M,Maximo valor de VAR16_sum en los últimos 34 meses,✓,✓,✓
categoria_tipo_com_tipo_cli,"Combinacion de Variable categóricas: categoria, tipo_com, tipo_cli",✓, ,✓
ratio_VAR24_sum_VAR5_trx,Ratio entre VAR24_sum y VAR5_trx en el último mes,✓, ,✓
ratio_VAR24_sum_VAR22_sum,Ratio entre VAR24_sum y VAR22_sum en el último mes,✓, ,✓
ratio_VAR1_sum_VAR21_sum,Ratio entre VAR1_sum y VAR21_sum en el último mes,✓, ,✓
min_VAR4_trx_18M,Minimo valor de VAR4_trx en los últimos 18 meses,✓, ,✓
min_VAR4_sum_34M,Minimo valor de VAR4_sum en los últimos 34 meses,✓,✓,✓
max_VAR13_sum_34M,Maximo valor de VAR13_sum en los últimos 34 meses,✓, ,✓
ratio_VAR24_sum_VAR18_sum,Ratio entre VAR24_sum y VAR18_sum en el último mes,✓, ,✓
ratio_VAR4_prom_VAR29_prom,Ratio entre VAR4_prom y VAR29_prom en el último mes,✓, ,✓
mean_VAR5_sum_6M,Media de VAR5_sum en los últimos 6 meses,✓,✓,✓
std_VAR1_prom_34M,Desviacion Estandar de VAR1_prom en los últimos 34 meses,✓, ,✓
mean_VAR3_sum_2M,Media de VAR3_sum en los últimos 2 meses,✓, ,✓
mean_VAR23_prom_2M,Media de VAR23_prom en los últimos 2 meses,✓, ,✓
ratio_VAR3_sum_VAR8_trx,Ratio entre VAR3_sum y VAR8_trx en el último mes,✓, ,✓
min_VAR5_prom_12M,Minimo valor de VAR5_prom en los últimos 12 meses,✓, ,✓
ratio_VAR5_sum_VAR15_sum,Ratio entre VAR5_sum y VAR15_sum en el último mes,✓, ,✓
min_VAR3_sum_3M,Minimo valor de VAR3_sum en los últimos 3 meses,✓,✓,✓
ratio_VAR4_trx_VAR3_trx,Ratio entre VAR4_trx y VAR3_trx en el último mes,✓, ,✓
ratio_VAR17_sum_VAR4_sum,Ratio entre VAR17_sum y VAR4_sum en el último mes,✓, ,✓
std_VAR23_trx_18M,Desviacion Estandar de VAR23_trx en los últimos 18 meses,✓, ,✓
ratio_VAR16_sum_VAR25_sum,Ratio entre VAR16_sum y VAR25_sum en el último mes,✓, ,✓
ratio_VAR5_trx_VAR2_trx,Ratio entre VAR5_trx y VAR2_trx en el último mes,✓, ,✓
std_VAR1_trx_34M,Desviacion Estandar de VAR1_trx en los últimos 34 meses,✓, ,✓
std_VAR25_prom_34M,Desviacion Estandar de VAR25_prom en los últimos 34 meses,✓, ,✓
min_VAR1_trx_34M,Minimo valor de VAR1_trx en los últimos 34 meses,✓, ,✓
ratio_VAR5_trx_VAR27_trx,Ratio entre VAR5_trx y VAR27_trx en el último mes,✓, ,✓
ratio_VAR24_sum_trx,Ratio entre VAR24_sum y trx en el último mes,✓,✓,✓
max_VAR25_prom_18M,Maximo valor de VAR25_prom en los últimos 18 meses,✓, ,✓
tipo_com_tipo_cat,"Combinacion de Variable categóricas: tipo_cat, tipo_com, tipo_cat",✓, ,✓
ratio_VAR13_sum_VAR14_sum,Ratio entre VAR13_sum y VAR14_sum en el último mes,✓, ,✓
ratio_VAR23_sum_VAR3_trx,Ratio entre VAR23_sum y VAR3_trx en el último mes,✓, ,✓
max_VAR30_sum_9M,Maximo valor de VAR30_sum en los últimos 9 meses,✓, ,✓
ratio_VAR1_trx_VAR28_trx,Ratio entre VAR1_trx y VAR28_trx en el último mes,✓, ,✓
ratio_VAR5_sum_VAR27_trx,Ratio entre VAR5_sum y VAR27_trx en el último mes,✓, ,✓
min_VAR25_prom_2M,Minimo valor de VAR25_prom en los últimos 2 meses,✓, ,✓
max_VAR30_sum_34M,Maximo valor de VAR30_sum en los últimos 34 meses,✓, ,✓
categoria_tipo_cat_tipo_cli,"Combinacion de Variable categóricas: tipo_cat, categoria, tipo_cli, tipo_cat",✓, ,✓
max_VAR23_trx_18M,Maximo valor de VAR23_trx en los últimos 18 meses,✓, ,✓
ratio_VAR1_trx_VAR23_trx,Ratio entre VAR1_trx y VAR23_trx en el último mes,✓, ,✓
mean_VAR23_prom_3M,Media de VAR23_prom en los últimos 3 meses,✓, ,✓
mean_VAR1_prom_34M,Media de VAR1_prom en los últimos 34 meses,✓, ,✓
ratio_VAR1_sum_VAR27_sum,Ratio entre VAR1_sum y VAR27_sum en el último mes,✓, ,✓
ratio_VAR3_sum_VAR9_sum,Ratio entre VAR3_sum y VAR9_sum en el último mes,✓, ,✓
ratio_VAR23_sum_VAR2_sum,Ratio entre VAR23_sum y VAR2_sum en el último mes,✓, ,✓
mean_VAR8_trx_12M,Media de VAR8_trx en los últimos 12 meses,✓, ,✓
std_VAR3_trx_18M,Desviacion Estandar de VAR3_trx en los últimos 18 meses,✓, ,✓
mean_VAR7_sum_34M,Media de VAR7_sum en los últimos 34 meses,✓, ,✓
ratio_VAR13_sum_VAR16_sum,Ratio entre VAR13_sum y VAR16_sum en el último mes,✓, ,✓
ratio_VAR1_trx_VAR24_trx,Ratio entre VAR1_trx y VAR24_trx en el último mes,✓, ,✓
ratio_VAR1_sum_VAR6_trx,Ratio entre VAR1_sum y VAR6_trx en el último mes,✓, ,✓
mean_VAR4_sum_12M,Media de VAR4_sum en los últimos 12 meses,✓,✓,✓
ratio_VAR3_sum_VAR6_trx,Ratio entre VAR3_sum y VAR6_trx en el último mes,✓, ,✓
ratio_VAR7_sum_VAR8_sum,Ratio entre VAR7_sum y VAR8_sum en el último mes,✓, ,✓
min_VAR25_prom_18M,Minimo valor de VAR25_prom en los últimos 18 meses,✓, ,✓
std_VAR1_trx_9M,Desviacion Estandar de VAR1_trx en los últimos 9 meses,✓, ,✓
std_VAR17_sum_3M,Desviacion Estandar de VAR17_sum en los últimos 3 meses,✓, ,✓
min_VAR23_sum_3M,Minimo valor de VAR23_sum en los últimos 3 meses,✓,✓,✓
ratio_VAR24_sum_VAR4_trx,Ratio entre VAR24_sum y VAR4_trx en el último mes,✓, ,✓
ratio_VAR23_sum_VAR28_sum,Ratio entre VAR23_sum y VAR28_sum en el último mes,✓, ,✓
max_VAR5_trx_34M,Maximo valor de VAR5_trx en los últimos 34 meses,✓, ,✓
std_VAR1_trx_12M,Desviacion Estandar de VAR1_trx en los últimos 12 meses,✓, ,✓
tipo_ban_categoria_tipo_com,"Combinacion de Variable categóricas: tipo_ban, categoria, tipo_com",✓, ,✓
mean_VAR5_trx_34M,Media de VAR5_trx en los últimos 34 meses,✓, ,✓
max_VAR3_sum_2M,Maximo valor de VAR3_sum en los últimos 2 meses,✓, ,✓
min_VAR25_prom_34M,Minimo valor de VAR25_prom en los últimos 34 meses,✓, ,✓
ratio_VAR23_sum_VAR28_trx,Ratio entre VAR23_sum y VAR28_trx en el último mes,✓, ,✓
mean_VAR3_prom_34M,Media de VAR3_prom en los últimos 34 meses,✓, ,✓
ratio_VAR1_sum_VAR24_trx,Ratio entre VAR1_sum y VAR24_trx en el último mes,✓, ,✓
ratio_VAR3_sum_VAR23_trx,Ratio entre VAR3_sum y VAR23_trx en el último mes,✓, ,✓
ratio_VAR4_sum_VAR15_sum,Ratio entre VAR4_sum y VAR15_sum en el último mes,✓, ,✓
max_VAR6_sum_34M,Maximo valor de VAR6_sum en los últimos 34 meses,✓, ,✓
max_VAR16_sum_6M,Maximo valor de VAR16_sum en los últimos 6 meses,✓,✓,✓
max_VAR24_sum_34M,Maximo valor de VAR24_sum en los últimos 34 meses,✓,✓,✓
mean_VAR25_trx_9M,Media de VAR25_trx en los últimos 9 meses,✓, ,✓
mean_VAR25_sum_18M,Media de VAR25_sum en los últimos 18 meses,✓,✓,✓
std_VAR29_prom_34M,Desviacion Estandar de VAR29_prom en los últimos 34 meses,✓, ,✓
ratio_VAR24_trx_VAR4_trx,Ratio entre VAR24_trx y VAR4_trx en el último mes,✓, ,✓
ratio_VAR1_sum_VAR11_sum,Ratio entre VAR1_sum y VAR11_sum en el último mes,✓, ,✓
ratio_VAR25_sum_VAR15_sum,Ratio entre VAR25_sum y VAR15_sum en el último mes,✓, ,✓
mean_VAR4_sum_18M,Media de VAR4_sum en los últimos 18 meses,✓,✓,✓
std_VAR13_sum_34M,Desviacion Estandar de VAR13_sum en los últimos 34 meses,✓, ,✓
mean_VAR25_prom_3M,Media de VAR25_prom en los últimos 3 meses,✓, ,✓
ratio_VAR4_sum_VAR9_trx,Ratio entre VAR4_sum y VAR9_trx en el último mes,✓, ,✓
max_VAR4_sum_12M,Maximo valor de VAR4_sum en los últimos 12 meses,✓,✓,✓
std_VAR5_prom_34M,Desviacion Estandar de VAR5_prom en los últimos 34 meses,✓, ,✓
tipo_ban_tipo_seg,"Combinacion de Variable categóricas: tipo_ban, tipo_seg",✓, ,✓
mean_VAR25_prom_12M,Media de VAR25_prom en los últimos 12 meses,✓, ,✓
mean_VAR25_prom_18M,Media de VAR25_prom en los últimos 18 meses,✓, ,✓
mean_VAR24_sum_3M,Media de VAR24_sum en los últimos 3 meses,✓,✓,✓
max_VAR3_sum_34M,Maximo valor de VAR3_sum en los últimos 34 meses,✓,✓,✓
max_VAR25_sum_12M,Maximo valor de VAR25_sum en los últimos 12 meses,✓,✓,✓
diff_mean_VAR3_trx_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR3 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR25_sum_groupby_tipo_seg_tipo_cli,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
mean_VAR23_prom_groupby_tipo_ban_tipo_seg,Media de VAR23_prom agrupada por tipo_ban_tipo_seg,✓, ,✓
diff_mean_VAR25_prom_groupby_tipo_seg_tipo_cli,Diferencia entre mean_VAR25 y el valor medio de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
diff_mean_VAR23_prom_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR23 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_max_VAR5_sum_groupby_tipo_cat,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_cat ,✓, ,✓
ratio_max_VAR5_sum_groupby_tipo_ban,Ratio entre max_VAR5 y el valor máximo de dicha variable agrupada por tipo_ban ,✓, ,✓
ratio_std_VAR24_trx_groupby_tipo_cat,Ratio entre std_VAR24 y el valor de la desviacion de dicha variable agrupada por tipo_cat ,✓, ,✓
diff_mean_VAR1_prom_groupby_tipo_ban,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por tipo_ban ,✓, ,✓
diff_mean_VAR1_sum_groupby_categoria,Diferencia entre mean_VAR1 y el valor medio de dicha variable agrupada por categoria ,✓, ,✓
ratio_std_VAR1_sum_groupby_tipo_ban_tipo_seg,Ratio entre std_VAR1 y el valor de la desviacion de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
diff_mean_VAR4_trx_groupby_tipo_ban_tipo_seg,Diferencia entre mean_VAR4 y el valor medio de dicha variable agrupada por tipo_ban_tipo_seg ,✓, ,✓
ratio_mean_VAR5_sum_groupby_tipo_seg,Ratio entre mean_VAR5 y el valor medio de dicha variable agrupada por tipo_seg ,✓, ,✓
ratio_max_VAR13_sum_groupby_tipo_seg_tipo_cli,Ratio entre max_VAR13 y el valor máximo de dicha variable agrupada por tipo_seg_tipo_cli ,✓, ,✓
